listing_id,room_type,latitude,longitude,host_type,host_id,host_name,,
53660977,Private room,40.64366,-73.98159,co,14898658,Chadanut,,
1.00E+18,Private room,40.6937026,-73.80697661,primary,537729916,Lakhwinder,,
8.83E+17,Private room,40.68580823,-73.79015177,co,79651295,Minee,,
53262764,Private room,40.7642,-73.87757,co,156948703,Asad,,
44375835,Private room,40.67525,-73.95403,primary,345709132,Patrice,,
48381921,Private room,40.74267,-73.90295,primary,390535864,Fukuda,,
37423528,Private room,40.75611,-73.99275,primary,224815152,Hudson River,,
52534281,Private room,40.75092,-73.99803,primary,408979935,Koichi,,
8.40E+17,Private room,40.7532239,-73.89260988,co,130975532,Monisha,,
45175969,Private room,40.64359,-73.98116,co,363928053,Chida,,
31174610,Private room,40.74515,-73.90604,co,521447784,Mina,,
7.97E+17,Private room,40.65657751,-73.94828602,primary,3223938,Eugene,,
1.03E+18,Private room,40.75668776,-73.9702171,primary,501999514,RoomPicks,,
48639203,Private room,40.71174622,-73.91933441,primary,231138233,Filiz,,
27952742,Private room,40.83668137,-73.83421326,co,260133846,Erika,,
8.27E+17,Private room,40.83358294,-73.93838305,primary,501064484,Kristina,,
9.84E+17,Private room,40.740872,-73.9018185,primary,501499086,CrossOver,,
1.02E+18,Private room,40.67917131,-73.92120699,co,37787619,Trey,,
9.52E+17,Private room,40.747923,-73.8736643,co,366180586,Al,,
28986683,Private room,40.76845,-73.9224,co,498467246,Aiko,,
1.04E+18,Private room,40.76370032,-73.97630281,primary,496932087,Reservations,,
48982617,Private room,40.63638,-73.90926,co,437029084,Carol,,
46544275,Private room,40.70463,-74.00544,primary,371972456,Justin,,
47923861,Entire home/apt,40.74919,-73.89562,primary,19303369,Hiroki,,
1.02E+18,Private room,40.76293,-73.99363,co,91445933,Adam,,
7.66E+17,Private room,40.69126,-73.93196,primary,463464923,Manuel,,
33917958,Private room,40.74468,-73.90807,co,366180586,Al,,
8.18E+17,Private room,40.75922709,-73.90011162,co,231138233,Filiz,,
47933628,Private room,40.74844,-73.99511,primary,386345949,Incentra,,
8.95E+17,Private room,40.70998,-74.01422,primary,215565541,LuxUrban,,
8.15E+17,Private room,40.7295,-73.87337,co,366180586,Al,,
30388944,Entire home/apt,40.7607614,-73.9861055,primary,107434423,Blueground,,
50744270,Private room,40.6880231,-73.942974,co,428687280,Ariuna,,
9.78E+17,Private room,40.6913576,-73.9465214,co,178624208,Tyrell,,
7.15E+17,Private room,40.76225551,-73.97907416,primary,475766934,Arianna,,
27923071,Private room,40.81253,-73.94372,co,521447784,Mina,,
1.05E+18,Private room,40.71492498,-73.98888196,co,552730256,Galen Michael,,
8.06E+17,Private room,40.68674952,-73.91367839,co,339848823,Nyc,,
46985797,Private room,40.70479,-74.00574,primary,371972456,Justin,,
42523317,Private room,40.74140332,-73.8892081,co,340102104,Kayo,,
6.50E+17,Private room,40.76322,-73.97885,primary,215565541,LuxUrban,,
53263395,Private room,40.76599,-73.87592,co,156948703,Asad,,
39955583,Private room,40.69644,-73.92295,primary,15787004,Martial Loft,,
9.31E+17,Private room,40.87408,-73.88293,co,419052826,Casimar,,
1.03E+18,Private room,40.71546251,-74.01000749,primary,496932087,Reservations,,
46379831,Private room,40.70486,-74.00576,primary,371972456,Justin,,
6.92E+17,Private room,40.81882,-73.95267,co,424332243,Роман,,
38295943,Private room,40.74993,-73.8783,co,227070045,Sachiko,,
49207819,Private room,40.74695,-73.87379,co,41773438,Danny,,
47200931,Private room,40.7062,-74.0059,primary,371972456,Justin,,
42648198,Private room,40.76626,-73.92241,co,521447784,Mina,,
7.67E+17,Private room,40.7461629,-73.8887556,co,227070045,Sachiko,,
38198444,Private room,40.7426,-73.89321,co,366180586,Al,,
50875520,Private room,40.637486,-73.931541,co,406807982,Tiffany,,
8.14E+17,Private room,40.7295,-73.87337,co,521447784,Mina,,
7.01E+17,Private room,40.6915,-73.9123,co,289158534,Max,,
39861293,Private room,40.74502,-73.98428,primary,268598785,Hotel 32 32,,
45622013,Private room,40.74585,-73.89837,primary,19303369,Hiroki,,
6.92E+17,Private room,40.6946,-73.92363,primary,3223938,Eugene,,
38295943,Private room,40.74993,-73.8783,co,521447784,Mina,,
6.43E+17,Private room,40.75297,-73.9347,co,191552674,Diana,,
8.73E+17,Private room,40.87695517,-73.85623522,co,510562861,June,,
38390610,Private room,40.74827,-73.87856,co,340102104,Kayo,,
16812429,Private room,40.80716705,-73.95064545,co,1550578,Ron,,
24177410,Private room,40.68945,-73.93274,co,152505959,Damien,,
31174610,Private room,40.74515,-73.90604,co,340102104,Kayo,,
6.46E+17,Private room,40.76375,-73.80755,co,122250216,Stephanie,,
23667332,Private room,40.666,-73.94163,co,203068035,Nicole,,
30315087,Entire home/apt,40.761532,-73.998779,primary,163251048,Global Luxury,,
7.54E+17,Private room,40.64251,-73.96035,primary,25697284,Billy,,
8.95E+17,Private room,40.71005047,-74.01414962,primary,215565541,LuxUrban,,
40397243,Private room,40.70663,-73.90317,co,302101015,Rob,,
45044606,Private room,40.80994898,-73.95424412,primary,305240193,June,,
48257775,Private room,40.70653,-74.00379,primary,371972456,Justin,,
47223694,Private room,40.71167,-73.96642,primary,3223938,Eugene,,
1.03E+18,Private room,40.71612658,-74.00966813,primary,496932087,Reservations,,
43667606,Private room,40.75302,-73.87769,primary,204704622,Momoyo,,
49053647,Private room,40.73885,-73.87781,primary,390535864,Fukuda,,
7.98E+17,Private room,40.75585,-73.98222,primary,484277630,Bugra Han,,
9.59E+17,Private room,40.58410264,-74.10860223,co,95570540,Ilene,,
40915004,Private room,40.7053,-73.90283,co,302101015,Rob,,
1.04E+18,Private room,40.76391364,-73.98069954,primary,496932087,Reservations,,
9.90E+17,Private room,40.76378,-73.82568,co,217037939,Kevin,,
7.67E+17,Private room,40.75135,-73.97691,primary,174792040,RoomPicks By Victoria,,
53615126,Private room,40.69411,-73.94215,co,4888892,Darina,,
7.16E+17,Private room,40.7028,-73.94369,primary,200239515,Shogo,,
49141844,Private room,40.67801,-73.90613,co,395798646,Andrew,,
1.03E+18,Private room,40.72988985,-73.87696953,primary,200239515,Shogo,,
6.93E+17,Private room,40.67719,-73.94189,co,413432955,George,,
26500082,Private room,40.74221,-73.90223,co,521447784,Mina,,
24921735,Private room,40.67877,-73.78803,co,380031528,Gigi,,
42523317,Private room,40.74140332,-73.8892081,co,227070045,Sachiko,,
27686998,Private room,40.74138,-73.8921,co,498467246,Aiko,,
1.04E+18,Private room,40.75879,-73.98566,primary,501999278,RoomPicks,,
103311,Private room,40.73778,-73.95366,primary,417504,The Box House Hotel,,
31085213,Private room,40.75469,-73.99625,primary,224815152,Hudson River,,
9.82E+17,Private room,40.7671997,-73.9235089,primary,501499086,CrossOver,,
53812378,Private room,40.68992,-73.9424,primary,421108644,Outpost Club,,
7.78E+17,Private room,40.80253,-73.95496,primary,490840837,Mary,,
1.03E+18,Private room,40.71554,-74.00829,primary,496932087,Reservations,,
43476086,Entire home/apt,40.76153,-73.99878,primary,9419684,Churchill,,
7.98E+17,Private room,40.69836007,-73.93893148,primary,401709949,Daniela & James,,
1.00E+18,Entire home/apt,40.75581088,-73.98161974,primary,484277630,Bugra Han,,
28950019,Private room,40.73538,-73.87935,primary,43044876,Haruhisa,,
53570387,Private room,40.74462,-73.87043,primary,19303369,Hiroki,,
30514043,Private room,40.69271,-73.91299,co,340102104,Kayo,,
46428551,Private room,40.70493,-74.0055,primary,371972456,Justin,,
7.67E+17,Private room,40.74927,-73.97716,primary,174792040,RoomPicks By Victoria,,
29760740,Private room,40.64032,-74.00412,primary,193502084,Linda,,
8.08E+17,Private room,40.81569,-73.95921,primary,305240193,June,,
50403963,Private room,40.6891,-73.93272,co,152505959,Damien,,
1.00E+18,Entire home/apt,40.7594614,-73.9712201,primary,107434423,Blueground,,
1.03E+18,Private room,40.74344422,-73.98629353,primary,496932087,Reservations,,
7.15E+17,Private room,40.76451204,-73.97791174,primary,475752211,Megan,,
5.49E+17,Private room,40.6874908,-73.9319414,co,428687280,Ariuna,,
5.36E+17,Entire home/apt,40.78317,-73.95206,primary,23772724,The Local Stay,,
48149045,Private room,40.73813,-73.9276,primary,200239515,Shogo,,
46380160,Private room,40.70614,-74.00369,primary,371972456,Justin,,
1.03E+18,Hotel room,40.75995,-73.98465,primary,496932087,Reservations,,
37200571,Entire home/apt,40.80368,-73.95792,primary,48593753,Georgia,,
7.65E+17,Private room,40.81909955,-73.94406244,co,530348929,Maria,,
1.03E+18,Private room,40.71603,-73.9888,co,552730256,Galen Michael,,
8.72E+17,Private room,40.87643,-73.85734,co,507263242,Gloria,,
9.92E+17,Private room,40.69226803,-73.94612155,co,178624208,Tyrell,,
7.81E+17,Private room,40.7043582,-73.7666419,primary,478260569,Yvonne,,
6.93E+17,Private room,40.67718,-73.94209,co,413432955,George,,
6.93E+17,Private room,40.67599,-73.94197,co,413432955,George,,
6.10E+17,Private room,40.8695,-73.92287,co,257993786,Ronnie,,
9.05E+17,Private room,40.715267,-74.015238,primary,326084746,Suiteness,,
9.66E+17,Private room,40.753,-73.87643,primary,200239515,Shogo,,
27686998,Private room,40.74138,-73.8921,co,227070045,Sachiko,,
31000800,Private room,40.74257,-73.89468,primary,200239515,Shogo,,
52085221,Private room,40.75447,-73.998,primary,381698920,Hudson,,
49293503,Private room,40.68655,-73.95586,primary,3223938,Eugene,,
9.15E+17,Private room,40.68497,-73.929,co,289158534,Max,,
30912673,Entire home/apt,40.70865,-73.96876,primary,50760546,CRNY Monthly Rentals,,
37665665,Private room,40.74931,-73.89993,co,340102104,Kayo,,
8.70E+17,Private room,40.7294918,-73.8733657,co,340102104,Kayo,,
36922223,Private room,40.73994,-73.8934,co,521447784,Mina,,
11371773,Private room,40.69558,-73.93466,co,473963067,Perla Joe,,
28891043,Entire home/apt,40.74908,-73.89389,primary,19303369,Hiroki,,
6.19E+17,Private room,40.7651,-73.9886,co,186679094,Kee,,
8.97E+17,Private room,40.7565,-73.98111,primary,496944100,RoomPicks,,
40454134,Private room,40.83667755,-73.83421326,co,501878152,Nancy,,
8.70E+17,Private room,40.7294918,-73.8733657,co,498467246,Aiko,,
9.82E+17,Private room,40.7671997,-73.9235089,primary,501499086,CrossOver,,
31042032,Private room,40.8215,-73.95312,primary,10415675,Yao & Rain,,
7.78E+17,Private room,40.80389,-73.9549,primary,490840837,Mary,,
6.41E+17,Private room,40.75078,-73.87964,co,498467246,Aiko,,
30716128,Private room,40.73757,-73.92335,co,227070045,Sachiko,,
7.31E+17,Private room,40.81861,-73.93967,co,424332243,Роман,,
9.90E+17,Private room,40.76165,-73.82465,co,217037939,Kevin,,
1.03E+18,Entire home/apt,40.79805,-73.96591,primary,520869021,Cozyliving Suites,,
1.03E+18,Private room,40.71405198,-74.00882088,primary,496932087,Reservations,,
8.72E+17,Private room,40.87643,-73.85734,co,510562861,June,,
39921812,Private room,40.7444,-73.9879,primary,306996701,The Evelyn Hotel,,
35532310,Private room,40.75198,-73.96978,primary,262985820,48Lex,,
8.47E+17,Private room,40.7525022,-73.9300503,co,310747190,Celso,,
6.51E+17,Private room,40.69612,-73.97222,primary,3223938,Eugene,,
9.04E+17,Private room,40.80807,-73.95244,co,311142157,Anna,,
1.01E+18,Private room,40.86595,-73.88989,co,438634584,Latif,,
5.72E+17,Private room,40.6829,-73.91235,co,339848823,Nyc,,
31836311,Private room,40.74018,-73.87571,primary,19303369,Hiroki,,
8.95E+17,Private room,40.75493652,-73.98304502,primary,496944100,RoomPicks,,
47181609,Private room,40.67576,-73.9464,co,61478941,Taylor,,
37216159,Private room,40.75792,-73.92852,co,32167398,Meela,,
6.47E+17,Private room,40.69067,-73.86953,co,406807982,Tiffany,,
39869406,Private room,40.68798,-73.9551,co,222236294,Kieu&Jimmy,,
8.03E+17,Private room,40.70389955,-73.89755208,primary,305240193,June,,
49074929,Entire home/apt,40.74637,-73.98684,primary,348619646,Nomad,,
9.90E+17,Private room,40.76379,-73.82584,co,502685591,Usquire,,
51510216,Private room,40.64165,-73.97976,co,14898658,Chadanut,,
36922223,Private room,40.73994,-73.8934,co,227070045,Sachiko,,
25871304,Private room,40.81091,-73.9416,co,340102104,Kayo,,
8.95E+17,Private room,40.71038365,-74.01477444,primary,215565541,LuxUrban,,
48345447,Private room,40.75487,-73.99374,primary,38592279,Vk,,
38956986,Hotel room,40.74953,-73.97849,primary,268613328,The Shelburne Sonesta,,
6.69E+17,Entire home/apt,40.7920348,-73.9662095,primary,170568130,Ignacio,,
6.85E+17,Private room,40.6914,-73.90543,co,339848823,Nyc,,
47181377,Private room,40.67619,-73.94616,co,61478941,Taylor,,
47831832,Private room,40.6678,-73.94053,co,107040079,Jonathon,,
7.67E+17,Private room,40.75113,-73.97821,primary,174792040,RoomPicks By Victoria,,
8.45E+17,Private room,40.8366795,-73.8342102,co,501878152,Nancy,,
7.26E+17,Private room,40.74898,-73.9869,primary,25138314,RoomPicks By Antony,,
8.47E+17,Private room,40.85450145,-73.9263769,primary,200239515,Shogo,,
48011499,Private room,40.74484,-73.89155,primary,200239515,Shogo,,
7.25E+17,Private room,40.74963,-73.9813,primary,219517861,Sonder (NYC),,
50403442,Private room,40.6914,-73.93302,co,152505959,Damien,,
1.03E+18,Private room,40.75462226,-73.9801231,primary,484277630,Bugra Han,,
38295943,Private room,40.74993,-73.8783,co,340102104,Kayo,,
34810330,Private room,40.74611,-73.89835,primary,19303369,Hiroki,,
28986683,Private room,40.76845,-73.9224,co,227070045,Sachiko,,
