"date","room_type","str_ltr","listings"
"2014-12-07","Entire home/apt","ltr","4"
"2014-12-07","Entire home/apt","str","15551"
"2014-12-07","Private room","ltr","3"
"2014-12-07","Private room","str","10206"
"2014-12-07","Shared room","str","861"
"2014-12-13","Entire home/apt","ltr","3"
"2014-12-13","Entire home/apt","str","16292"
"2014-12-13","Private room","ltr","1"
"2014-12-13","Private room","str","10788"
"2014-12-13","Shared room","str","900"
"2014-12-21","Entire home/apt","ltr","4"
"2014-12-21","Entire home/apt","str","16272"
"2014-12-21","Private room","ltr","2"
"2014-12-21","Private room","str","10733"
"2014-12-21","Shared room","str","893"
"2015-01-01","Entire home/apt","ltr","1"
"2015-01-01","Entire home/apt","str","15961"
"2015-01-01","Private room","ltr","1"
"2015-01-01","Private room","str","10562"
"2015-01-01","Shared room","str","829"
"2015-03-01","Entire home/apt","ltr","73"
"2015-03-01","Entire home/apt","str","15423"
"2015-03-01","Private room","ltr","31"
"2015-03-01","Private room","str","10761"
"2015-03-01","Shared room","ltr","2"
"2015-03-01","Shared room","str","811"
"2015-05-01","Entire home/apt","ltr","161"
"2015-05-01","Entire home/apt","str","15172"
"2015-05-01","Private room","ltr","79"
"2015-05-01","Private room","str","10930"
"2015-05-01","Shared room","ltr","3"
"2015-05-01","Shared room","str","718"
"2015-06-01","Entire home/apt","ltr","170"
"2015-06-01","Entire home/apt","str","15530"
"2015-06-01","Private room","ltr","76"
"2015-06-01","Private room","str","11040"
"2015-06-01","Shared room","ltr","1"
"2015-06-01","Shared room","str","652"
"2015-08-01","Entire home/apt","ltr","173"
"2015-08-01","Entire home/apt","str","16955"
"2015-08-01","Private room","ltr","75"
"2015-08-01","Private room","str","12514"
"2015-08-01","Shared room","ltr","1"
"2015-08-01","Shared room","str","809"
"2015-09-01","Entire home/apt","ltr","192"
"2015-09-01","Entire home/apt","str","16834"
"2015-09-01","Private room","ltr","89"
"2015-09-01","Private room","str","12522"
"2015-09-01","Shared room","ltr","8"
"2015-09-01","Shared room","str","838"
"2015-10-01","Entire home/apt","ltr","191"
"2015-10-01","Entire home/apt","str","16746"
"2015-10-01","Private room","ltr","91"
"2015-10-01","Private room","str","12338"
"2015-10-01","Shared room","ltr","14"
"2015-10-01","Shared room","str","868"
"2015-11-01","Entire home/apt","ltr","186"
"2015-11-01","Entire home/apt","str","17718"
"2015-11-01","Private room","ltr","82"
"2015-11-01","Private room","str","13019"
"2015-11-01","Shared room","ltr","13"
"2015-11-01","Shared room","str","937"
"2015-11-20","Entire home/apt","ltr","277"
"2015-11-20","Entire home/apt","str","17503"
"2015-11-20","Private room","ltr","93"
"2015-11-20","Private room","str","13910"
"2015-11-20","Shared room","ltr","12"
"2015-11-20","Shared room","str","959"
"2015-12-02","Entire home/apt","ltr","286"
"2015-12-02","Entire home/apt","str","18500"
"2015-12-02","Private room","ltr","99"
"2015-12-02","Private room","str","14471"
"2015-12-02","Shared room","ltr","13"
"2015-12-02","Shared room","str","1007"
"2016-01-01","Entire home/apt","ltr","266"
"2016-01-01","Entire home/apt","str","19396"
