date,series,listings
2014-12-07,Entire home/apt,4
2014-12-07,Entire home/apt,15551
2014-12-07,Private room,3
2014-12-07,Private room,10206
2014-12-07,Shared room,861
2014-12-13,Entire home/apt,3
2014-12-13,Entire home/apt,16292
2014-12-13,Private room,1
2014-12-13,Private room,10788
2014-12-13,Shared room,900
2014-12-21,Entire home/apt,4
2014-12-21,Entire home/apt,16272
2014-12-21,Private room,2
2014-12-21,Private room,10733
2014-12-21,Shared room,893
2015-01-01,Entire home/apt,1
2015-01-01,Entire home/apt,15961
2015-01-01,Private room,1
2015-01-01,Private room,10562
2015-01-01,Shared room,829
2015-03-01,Entire home/apt,73
2015-03-01,Entire home/apt,15423
2015-03-01,Private room,31
2015-03-01,Private room,10761
2015-03-01,Shared room,2
2015-03-01,Shared room,811
2015-05-01,Entire home/apt,161
2015-05-01,Entire home/apt,15172
2015-05-01,Private room,79
2015-05-01,Private room,10930
2015-05-01,Shared room,3
2015-05-01,Shared room,718
2015-06-01,Entire home/apt,170
2015-06-01,Entire home/apt,15530
2015-06-01,Private room,76
2015-06-01,Private room,11040
2015-06-01,Shared room,1
2015-06-01,Shared room,652
2015-08-01,Entire home/apt,173
2015-08-01,Entire home/apt,16955
2015-08-01,Private room,75
2015-08-01,Private room,12514
2015-08-01,Shared room,1
2015-08-01,Shared room,809
2015-09-01,Entire home/apt,192
2015-09-01,Entire home/apt,16834
2015-09-01,Private room,89
2015-09-01,Private room,12522
2015-09-01,Shared room,8
2015-09-01,Shared room,838
2015-10-01,Entire home/apt,191
2015-10-01,Entire home/apt,16746
2015-10-01,Private room,91
2015-10-01,Private room,12338
2015-10-01,Shared room,14
2015-10-01,Shared room,868
2015-11-01,Entire home/apt,186
2015-11-01,Entire home/apt,17718
2015-11-01,Private room,82
2015-11-01,Private room,13019
2015-11-01,Shared room,13
2015-11-01,Shared room,937
2015-11-20,Entire home/apt,277
2015-11-20,Entire home/apt,17503
2015-11-20,Private room,93
2015-11-20,Private room,13910
2015-11-20,Shared room,12
2015-11-20,Shared room,959
2015-12-02,Entire home/apt,286
2015-12-02,Entire home/apt,18500
2015-12-02,Private room,99
2015-12-02,Private room,14471
2015-12-02,Shared room,13
2015-12-02,Shared room,1007
2016-01-01,Entire home/apt,266
2016-01-01,Entire home/apt,19396
2016-01-01,Private room,107
2016-01-01,Private room,15297
2016-01-01,Shared room,14
2016-01-01,Shared room,1103
2016-02-02,Entire home/apt,278
2016-02-02,Entire home/apt,18989
2016-02-02,Private room,110
2016-02-02,Private room,15466
2016-02-02,Shared room,11
2016-02-02,Shared room,1103
